abandon,放弃
blame,责备
blanket,毯子
blast,爆炸
bleak,苍凉
bless,保佑
blind,瞎的
blood,血
blossom,开花
blouse,女式衬衫
blue,蓝色的
blur,模糊
blush,脸红
board,木板
boat,船
body,身体
boil,熬
bomb,炸弹
bone,骨
bonus,奖金
book,书
boost,促进
border,边界
boring,无聊的
borrow,借
boss,老板
bottom,底部
bounce,弹跳
box,盒子
boy,男生
bracket,括号
brain,脑
brand,品牌
brass,黄铜
brave,勇敢的
bread,面包
breeze,微风
brick,砖
bridge,桥
brief,简短的
bright,明亮的
bring,带来
brisk,轻快
broccoli,西兰花
broken,破碎的
bronze,青铜
broom,扫帚
brother,兄弟
brown,棕色的
brush,刷子
bubble,气泡
buddy,伙伴
budget,预算
buffalo,水牛
build,建造
bulb,电灯泡
bulk,大部分
bullet,子弹
bundle,捆
bunker,掩体
burden,负担
burger,汉堡
burst,爆裂
bus,公共汽车
business,商业
busy,忙碌的
butter,黄油
buyer,买方
buzz,嗡嗡声
cabbage,卷心菜
cabin,舱
cable,电缆
cactus,仙人掌
cage,笼
cake,蛋糕
call,称呼
calm,冷静的
camera,相机
camp,营
can,能
canal,运河
cancel,取消
candy,糖果
cannon,大炮
canoe,独木舟
canvas,帆布
canyon,峡谷
capable,有能力的
capital,首都
captain,队长
car,车
carbon,碳
card,卡片
cargo,货物
carpet,地毯
carry,携带
cart,大车
case,案件
cash,现金
casino,赌场
castle,城堡
casual,随意的
cat,猫
catalog,目录
catch,抓住
category,类别
cattle,牛
caught,捕捉
cause,原因
caution,警告
cave,洞穴
ceiling,天花板
celery,芹菜
cement,水泥
census,人口普查
century,世纪
cereal,谷物
certain,肯定
chair,椅子
chalk,粉笔
champion,冠军
change,改变
chaos,混乱
chapter,章
charge,收费
chase,追赶
chat,聊天
cheap,便宜的
check,查看
cheese,奶酪
chef,厨师
cherry,樱桃
chest,胸部
chicken,鸡
chief,首席
child,孩子
chimney,烟囱
choice,选择
choose,选择
chronic,慢性的
chuckle,咯咯笑
chunk,块
churn,流失
cigar,雪茄
cinnamon,肉桂
circle,圆圈
citizen,公民
city,城市
civil,民事
claim,宣称
clap,拍
clarify,阐明
claw,爪
clay,黏土
clean,干净的
clerk,办事员
clever,聪明的
click,点击
client,客户
cliff,悬崖
climb,爬
clinic,诊所
clip,夹子
clock,钟
clog,阻塞
close,关闭
cloth,布
cloud,云
clown,小丑
club,俱乐部
clump,丛
cluster,簇
clutch,离合器
coach,教练
coast,海岸
coconut,椰子
code,代码
coffee,咖啡
coil,线圈
coin,硬币
collect,收集
color,颜色
column,柱子
combine,结合
come,来
comfort,舒适
comic,漫画
common,常见的
company,公司
concert,音乐会
conduct,执行
confirm,确认
congress,国会
connect,连接
consider,考虑
control,控制
convince,说服
cook,厨师
cool,凉爽的
copper,铜
copy,复制
coral,珊瑚
core,核
corn,玉米
correct,正确的
cost,成本
cotton,棉布
couch,长椅
country,国家
couple,夫妻
course,课程
cousin,表哥
cover,覆盖
coyote,郊狼
crack,裂缝
cradle,摇篮
craft,工艺
cram,填鸭式
crane,起重机
crash,碰撞
crater,陨石坑
crawl,爬行
crazy,疯狂的
cream,奶油
credit,信用
creek,溪
crew,全体人员
cricket,蟋蟀
crime,犯罪
crisp,脆
critic,评论家
crop,庄稼
cross,叉
crouch,蹲伏
crowd,人群
crucial,至关重要的
cruel,残忍的
cruise,巡航
crumble,崩溃
crunch,嘎吱嘎吱
crush,压碎
cry,哭
crystal,水晶
cube,立方体
culture,文化
cup,杯子
cupboard,橱柜
curious,好奇的
current,当前的
curtain,窗帘
curve,曲线
cushion,软垫
custom,风俗
cute,可爱的
cycle,循环
dad,爸爸
damage,损害
damp,潮湿
dance,舞蹈
danger,危险
daring,大胆
dash,短跑
daughter,女儿
dawn,黎明
day,天
deal,交易
debate,辩论
debris,碎片
decade,十年
december,十二月
decide,决定
decline,衰退
decorate,装饰
decrease,减少
deer,鹿
defense,防御
define,定义
defy,违抗
degree,程度
delay,延迟
deliver,递送
demand,要求
demise,消亡
denial,拒绝
dentist,牙医
deny,否定
depart,离开
depend,依赖
deposit,订金
depth,深度
deputy,副
derive,派生
describe,描述
desert,沙漠
design,设计
desk,桌子
despair,绝望
destroy,破坏
detail,细节
detect,探测
develop,发展
device,设备
devote,奉献
diagram,图表
dial,拨号
diamond,钻石
diary,日记
dice,骰子
diesel,柴油机
diet,饮食
differ,不同
digital,数字的
dignity,尊严
dilemma,困境
dinner,晚餐
dinosaur,恐龙
direct,直接的
dirt,污垢
disagree,不同意
discover,发现
disease,疾病
dish,盘子
dismiss,解雇
disorder,紊乱
display,展示
distance,距离
divert,转移
divide,划分
divorce,离婚
dizzy,晕眩的
doctor,医生
document,文档
dog,狗
doll,玩具娃娃
dolphin,海豚
domain,领域
donate,捐
donkey,驴
donor,捐助者
door,门
dose,剂量
double,双倍的
dove,鸽子
draft,草稿
dragon,龙
drama,戏剧
drastic,激烈的
draw,画
dream,梦
dress,裙子
drift,漂移
drill,钻头
drink,喝
drip,滴
drive,驾驶
drop,降低
drum,鼓
dry,干燥
duck,鸭子
dumb,哑的
dune,沙丘
during,期间
dust,灰尘
dutch,荷兰人
duty,责任
dwarf,矮人
dynamic,动态的
eager,渴望的
eagle,鹰
early,早期的
earn,赚
earth,地球
easily,容易地
east,东方
easy,简单的
echo,回声
ecology,生态
economy,经济
edge,边缘
edit,编辑
educate,教育
effort,努力
egg,蛋
eight,八
either,任何一个
elbow,弯头
elder,长老
electric,电的
elegant,优雅的
element,元素
elephant,大象
elevator,电梯
elite,精英
else,别的
embark,出发
embody,体现
embrace,拥抱
emerge,出现
emotion,情感
employ,采用
empower,授权
empty,空的
enable,使能够
enact,制定
end,结尾
endless,无尽的
endorse,赞同
enemy,敌人
energy,活力
enforce,执行
engage,从事
engine,引擎
enhance,提高
enjoy,享受
enlist,征募
enough,足够的
enrich,丰富
enroll,注册
ensure,确保
enter,进入
entire,全部的
entry,入口
envelope,信封
episode,插曲
equal,平等的
equip,装备
era,时代
erase,擦除
erode,侵蚀
erosion,侵蚀
error,错误
erupt,爆发
escape,逃脱
essay,散文
essence,本质
estate,财产
eternal,永恒
ethics,伦理
evidence,证据
evil,邪恶的
evoke,唤起
evolve,发展
exact,精确的
example,例子
excess,过量的
exchange,交换
excite,激发
exclude,排除
excuse,原谅
execute,执行
exercise,锻炼
exhaust,排气
exhibit,展览
exile,流亡
exist,存在
exit,出口
exotic,异国情调
expand,扩张
expect,预计
expire,到期
explain,解释
expose,暴露
express,表达
extend,延长
extra,额外的
eye,眼睛
eyebrow,眉
fabric,织物
face,脸
faculty,学院
fade,褪色
faint,头晕的
faith,信仰
fall,落下
FALSE,错误的
fame,名声
family,家庭
famous,著名的
fan,扇子
fancy,想要
fantasy,幻想
farm,农场
fashion,时尚
fat,胖的
fatal,致命的
father,父亲
fatigue,疲劳
fault,过错
favorite,最喜欢的
feature,特征
february,二月
federal,联邦
fee,费用
feed,喂养
feel,感觉
female,女性
fence,栅栏
festival,节日
fetch,拿来
fever,发烧
few,很少
fiber,纤维
fiction,小说
field,场地
figure,数字
file,文件
film,电影
filter,筛选
final,最终的
find,寻找
fine,美好的
finger,手指
finish,结束
fire,火
firm,公司
first,第一的
fiscal,财
fish,鱼
fit,合身
fitness,健康
fix,使固定
flag,旗帜
flame,火焰
flash,闪光
flat,平坦的
flavor,味道
flee,逃跑
flight,航班
flip,翻动
float,漂浮
flock,群
floor,地面
flower,花
fluid,体液
flush,冲洗
fly,飞
foam,泡沫
focus,重点
fog,多雾路段
foil,挫败
fold,折叠
follow,跟随
food,食物
foot,脚
force,力量
forest,森林
forget,忘记
fork,叉
fortune,财富
forum,论坛
forward,向前
fossil,化石
foster,促进
found,成立
fox,狐狸
fragile,脆弱的
frame,框架
frequent,频繁
fresh,新鲜的
friend,朋友
fringe,边缘
frog,青蛙
front,正面
frost,霜
frown,皱眉
frozen,冻结
fruit,水果
fuel,燃料
fun,乐趣
funny,有趣的
furnace,炉
fury,愤怒
future,未来
gadget,小工具
gain,获得
galaxy,星系
gallery,画廊
game,游戏
gap,差距
garage,车库
garbage,垃圾
garden,花园
garlic,蒜
garment,服装
gas,气体
gasp,喘气
gate,门
gather,收集
gauge,测量
gaze,目光
general,一般的
genius,天才
genre,类型
gentle,温和的
genuine,真的
gesture,手势
ghost,鬼
giant,巨大的
gift,礼物
giggle,傻笑
ginger,姜
giraffe,长颈鹿
girl,女孩
give,给
glad,高兴的
glance,一瞥
glare,强光
glass,玻璃
glide,滑行
glimpse,一瞥
globe,地球
gloom,愁云
glory,荣耀
glove,手套
glow,辉光
glue,胶水
goat,山羊
goddess,女神
gold,金子
good,好的
goose,鹅
gorilla,大猩猩
gospel,福音
gossip,闲话
govern,治理
gown,袍
grab,抓住
grace,优雅
grain,粮食
grant,授予
grape,葡萄
grass,草
gravity,重力
great,伟大的
green,绿色的
grid,网格
grief,悲伤
grit,砂砾
grocery,杂货店
group,团体
grow,生长
grunt,咕噜
guard,警卫
guess,猜测
guide,指导
guilt,有罪
guitar,吉他
gun,枪
gym,健身房
habit,习惯
hair,头发
half,一半
hammer,锤
hamster,仓鼠
hand,手
happy,快乐的
harbor,港口
hard,难的
harsh,残酷的
harvest,收成
hat,帽子
have,有
hawk,鹰
hazard,冒险
head,头
health,健康
heart,心
heavy,重的
hedgehog,刺猬
height,高度
hello,你好
helmet,头盔
help,帮助
hen,母鸡
hero,英雄
hidden,隐
high,高的
hill,爬坡道
hint,暗示
hip,时髦的
hire,聘请
history,历史
hobby,爱好
hockey,曲棍球
hold,抓住
hole,洞
holiday,假期
hollow,空洞的
home,家
honey,蜂蜜
hood,兜帽
hope,希望
horn,喇叭
horror,恐怖
horse,马
hospital,医院
host,主持人
hotel,酒店
hour,小时
hover,徘徊
hub,中心
huge,巨大的
human,人类
humble,谦逊的
humor,幽默
hundred,百
hungry,饥饿的
hunt,打猎
hurdle,栏
hurry,匆忙
hurt,伤害
husband,丈夫
hybrid,杂交种
ice,冰
icon,图标
idea,主意
identify,确认
idle,闲置的
ignore,忽略
ill,患病的
illegal,非法的
illness,疾病
image,图像
imitate,模拟
immense,巨大
immune,免疫
impact,影响
impose,强加
improve,提升
impulse,冲动
inch,英寸
include,包括
income,收入
increase,增加
index,指数
indicate,表明
indoor,室内的
industry,行业
infant,婴儿
inflict,造成
inform,通知
inhale,吸入
inherit,继承
initial,最初的
inject,注入
injury,受伤
inmate,囚犯
inner,内
innocent,清白的
input,输入
inquiry,询问
insane,疯狂的
insect,昆虫
inside,里面
inspire,启发
install,安装
intact,完好无损的
interest,兴趣
into,进入
invest,投资
invite,邀请
involve,涉及
iron,铁
island,岛
isolate,隔离
issue,问题
item,物品
ivory,象牙
jacket,夹克
jaguar,美洲虎
jar,罐
jazz,爵士乐
jealous,嫉妒的
jeans,牛仔裤
jelly,果冻
jewel,宝石
job,工作
join,加入
joke,开玩笑
journey,旅行
joy,喜悦
judge,法官
juice,汁
jump,跳
jungle,丛林
junior,初级
junk,垃圾
just,只是
kangaroo,袋鼠
keen,敏锐的
keep,保持
ketchup,番茄酱
key,钥匙
kick,踢
kid,孩子
kidney,肾
kind,种类
kingdom,王国
kiss,吻
kit,成套工具
kitchen,厨房
kite,风筝
kitten,小猫
kiwi,猕猴桃
knee,膝盖
knife,刀
knock,敲
know,知道
lab,实验室
label,标签
labor,劳动
ladder,梯子
lady,女士
lake,湖
lamp,灯
language,语言
laptop,笔记本电脑
large,大的
later,之后
latin,拉丁
laugh,笑
laundry,洗衣店
lava,岩浆
law,法律
lawn,草地
lawsuit,诉讼
layer,层
lazy,懒惰的
leader,领导者
leaf,叶子
learn,学习
leave,离开
lecture,演讲
left,左边
leg,腿
legal,合法的
legend,传奇
leisure,闲暇
lemon,柠檬
lend,借
length,长度
lens,镜片
leopard,豹
lesson,课
letter,信
level,等级
liar,说谎者
liberty,自由
library,图书馆
license,执照
life,生活
lift,举起
light,光
like,喜欢
limb,肢
limit,限制
link,关联
lion,狮子
liquid,液体
list,列表
little,小的
live,居住
lizard,蜥蜴
load,加载
loan,贷款
lobster,龙虾
local,当地的
lock,锁
logic,逻辑
lonely,孤独
long,长的
loop,环形
lottery,彩票
loud,大声
lounge,休息室
love,爱
loyal,忠诚
lucky,幸运的
luggage,行李
lumber,木材
lunar,月球
lunch,午餐
luxury,奢华
lyrics,歌词
machine,机器
mad,疯狂的
magic,魔法
magnet,磁铁
maid,女佣
mail,邮件
main,主要的
major,主要的
make,制作
mammal,哺乳动物
man,男人
manage,管理
mandate,授权
mango,芒果
mansion,大厦
manual,手动的
maple,枫
marble,大理石
march,行进
margin,利润
marine,海洋
market,市场
marriage,婚姻
mask,面具
mass,大量的
master,掌握
match,匹配
material,材料
math,数学
matrix,矩阵
matter,事情
maximum,最大限度
maze,迷宫
meadow,草地
mean,意思是
measure,措施
meat,肉
mechanic,机械
medal,勋章
media,媒体
melody,旋律
melt,熔化
member,成员
memory,记忆
mention,提到
menu,菜单
mercy,怜悯
merge,合并
merit,优点
merry,快乐的
mesh,网
message,信息
metal,金属
method,方法
middle,中间
midnight,午夜
milk,牛奶
million,百万
mimic,模仿
mind,头脑
minimum,最低限度
minor,次要的
minute,分钟
miracle,奇迹
mirror,镜子
misery,苦难
miss,错过
mistake,错误
mix,混合
mixed,混合
mixture,混合物
mobile,移动的
model,模型
modify,调整
mom,妈妈
moment,片刻
monitor,监视器
monkey,猴
monster,怪物
month,月
moon,月亮
moral,道德
more,更多的
morning,早晨
mosquito,蚊子
mother,母亲
motion,运动
motor,发动机
mountain,山
mouse,老鼠
move,移动
movie,电影
much,很多
muffin,松饼
mule,骡子
multiply,乘
muscle,肌肉
museum,博物馆
mushroom,蘑菇
music,音乐
must,必须
mutual,相互的
myself,我
mystery,神秘
myth,神话
naive,幼稚的
name,姓名
napkin,餐巾
narrow,狭窄的
nasty,可恶的
nation,国家
nature,自然
near,靠近
neck,脖子
need,需要
negative,消极的
neglect,忽视
neither,两者都不
nephew,侄子
nerve,神经
nest,巢
net,网
network,网络
neutral,中性的
never,绝不
news,消息
next,下一个
nice,好的
night,夜晚
noble,高贵
noise,噪音
nominee,被提名人
noodle,面条
normal,普通的
north,北
nose,鼻子
notable,值得注意的
note,笔记
nothing,没有什么
notice,注意
novel,小说
now,现在
nuclear,核
number,数字
nurse,护士
nut,坚果
oak,橡木
obey,服从
object,目的
oblige,有义务
obscure,朦胧
observe,观察
obtain,获得
obvious,明显的
occur,发生
ocean,海洋
october,十月
odor,气味
off,离开
offer,提供
office,办公室
often,经常
oil,油
okay,好的
old,老的
olive,橄榄
olympic,奥林匹克
omit,忽略
once,一次
one,一
onion,洋葱
online,在线的
only,仅有的
open,打开
opera,歌剧
opinion,观点
oppose,反对
option,选项
orange,橙子
orbit,轨道
orchard,果园
order,命令
ordinary,普通的
organ,器官
orient,东方
original,原来的
orphan,孤儿
ostrich,鸵鸟
other,其他
outdoor,户外的
outer,外
output,输出
outside,外部
oval,椭圆形
oven,烤箱
over,超过
own,自己的
owner,所有者
oxygen,氧
oyster,牡蛎
ozone,臭氧
pact,协议
paddle,桨
page,页
pair,一对
palace,宫殿
palm,棕榈
panda,熊猫
panel,控制板
panic,恐慌
panther,豹
paper,纸
parade,游行
parent,父母
park,公园
parrot,鹦鹉
party,派对
pass,经过
patch,修补
path,小路
patient,病人
patrol,巡逻
pattern,图案
pause,暂停
pave,铺平
payment,支付
peace,和平
peanut,花生
pear,梨
peasant,农民
pelican,鹈
pen,笔
penalty,惩罚
pencil,铅笔
people,人们
pepper,胡椒
perfect,完美的
permit,允许
person,人
pet,宠物
phone,电话
photo,照片
phrase,短语
physical,身体的
piano,钢琴
picnic,野餐
picture,图片
piece,片
pig,猪
pigeon,鸽子
pill,丸
pilot,飞行员
pink,粉色的
pioneer,先锋
pipe,管道
pistol,手枪
pitch,沥青
pizza,比萨
place,地方
planet,行星
plastic,塑料
plate,盘子
play,玩
please,请
pledge,保证
pluck,采摘
plug,插头
plunge,暴跌
poem,诗
poet,诗人
point,观点
polar,极性
pole,极
police,警察
pond,池塘
pony,小马
pool,水池
popular,受欢迎的
portion,部分
position,位置
possible,可能的
post,邮政
potato,土豆
pottery,陶器
poverty,贫困
powder,粉末
power,力量
practice,实践
praise,称赞
predict,预测
prefer,更喜欢
prepare,准备
present,展示
pretty,漂亮的
prevent,防止
price,价格
pride,自豪
primary,基本的
print,打印
priority,优先事项
prison,监狱
private,私人的
prize,奖
problem,问题
process,过程
produce,生产
profit,利润
program,程序
project,项目
promote,推动
proof,证明
property,财产
prosper,繁荣
protect,保护
proud,自豪的
provide,提供
public,民众
pudding,布丁
pull,拉
pulp,纸浆
pulse,脉冲
pumpkin,南瓜
punch,冲床
pupil,瞳孔
puppy,小狗
purchase,购买
purity,纯度
purpose,目的
purse,钱包
push,推
put,放
puzzle,谜
pyramid,金字塔
quality,质量
quantum,量子
quarter,四分之一
question,问题
quick,快的
quit,辞职
quiz,测验
quote,引用
rabbit,兔子
raccoon,狸
race,种族
rack,架子
radar,雷达
radio,收音机
rail,轨
rain,雨
raise,增加
rally,集会
ramp,坡道
ranch,牧场
random,随机的
range,范围
rapid,迅速的
rare,稀有的
rate,速度
rather,相当
raven,乌鸦
raw,生的
razor,剃刀
ready,准备好
real,真实的
reason,原因
rebel,反叛
rebuild,重建
recall,记起
receive,收到
recipe,食谱
record,记录
recycle,回收
reduce,减少
reflect,反映
reform,改革
refuse,拒绝
region,地区
regret,后悔
regular,常规的
reject,拒绝
relax,放松
release,发布
relief,宽慰
rely,依靠
remain,保持
remember,记住
remind,提醒
remove,消除
render,使成为
renew,更新
rent,租
reopen,重新开放
repair,维修
repeat,重复
replace,代替
report,报告
require,要求
rescue,救援
resemble,类似
resist,抵抗
resource,资源
response,回复
result,结果
retire,退休
retreat,撤退
return,返回
reunion,团圆
reveal,揭示
review,审查
reward,报酬
rhythm,韵律
rib,肋骨
ribbon,丝带
rice,米
rich,富有的
ride,骑
ridge,岭
rifle,步枪
right,正确的
rigid,死板的
ring,戒指
riot,暴动
ripple,波纹
risk,风险
ritual,仪式
rival,竞争对手
river,河
road,路
roast,烤
robot,机器人
robust,强壮的
rocket,火箭
romance,浪漫
roof,屋顶
rookie,新手
room,房间
rose,玫瑰
rotate,旋转
rough,粗糙的
round,圆形的
route,路线
royal,皇家
rubber,橡皮
rude,粗鲁的
rug,小地毯
rule,规则
run,跑步
runway,跑道
rural,乡村的
sad,伤心
saddle,鞍
sadness,悲伤
safe,安全的
sail,帆
salad,沙拉
salmon,三文鱼
salon,沙龙
salt,盐
salute,礼炮
same,相同的
sample,样本
sand,沙
satisfy,满足
satoshi,聪
sauce,酱
sausage,香肠
save,节省
say,说
scale,规模
scan,扫描
scare,吓
scatter,分散
scene,场景
scheme,方案
school,学校
science,科学
scissors,剪刀
scorpion,蝎
scout,侦察
scrap,废料
screen,屏幕
script,脚本
scrub,擦洗
sea,海
search,搜索
season,季节
seat,座位
second,第二
secret,秘密
section,部分
security,安全
seed,种子
seek,寻找
segment,部分
select,选择
sell,卖
seminar,研讨会
senior,高级的
sense,感觉
sentence,句子
series,系列
service,服务
session,会议
settle,定居
setup,设置
seven,七
shadow,阴影
shaft,轴
shallow,浅的
share,分享
shed,棚
shell,壳
sheriff,警长
shield,盾
shift,转移
shine,闪耀
ship,船
shiver,颤抖
shock,震惊
shoe,鞋
shoot,射击
shop,店铺
short,短的
shoulder,肩膀
shove,推
shrimp,虾
shrug,耸肩
shuffle,随机播放
shy,害羞的
sibling,兄弟
sick,生病的
side,边
siege,围城
sight,视线
sign,符号
silent,沉默的
silk,丝绸
silly,愚蠢的
silver,银
similar,相似的
simple,简单的
since,自从
sing,唱歌
siren,警笛
sister,姐姐
situate,位于
six,六
size,尺寸
skate,滑冰
sketch,草图
ski,滑雪
skill,技能
skin,皮肤
skirt,裙子
skull,颅骨
slab,板坯
slam,砰
sleep,睡觉
slender,苗条
slice,片
slide,滑动
slight,轻微
slim,苗条的
slogan,口号
slot,投币口
slow,慢的
slush,雪泥
small,小的
smart,聪明的
smile,微笑
smoke,抽烟
smooth,光滑的
snack,小吃
snake,蛇
snap,折断
sniff,嗅
snow,雪
soap,肥皂
soccer,足球
social,社会的
sock,短袜
soda,苏打
soft,柔软的
solar,太阳的
soldier,士兵
solid,坚硬的
solution,解决方案
solve,解决
someone,某人
song,歌曲
soon,很快
sorry,对不起
sort,种类
soul,灵魂
sound,声音
soup,汤
source,来源
south,南
space,空间
spare,空闲的
spatial,空间
spawn,产卵
speak,说话
special,特别的
speed,速度
spell,拼写
spend,花费
sphere,领域
spice,香料
spider,蜘蛛
spike,长钉
spin,旋转
spirit,精神
split,分裂
spoil,破坏
sponsor,赞助
spoon,勺子
sport,运动
spot,点
spray,喷
spread,传播
spring,春天
spy,间谍
square,正方形
squeeze,挤
squirrel,松鼠
stable,稳定的
stadium,体育场
staff,职员
stage,阶段
stairs,楼梯
stamp,邮票
stand,站立
start,开始
state,状态
stay,停留
steak,牛排
steel,钢
stem,干
step,步
stereo,立体声
stick,戳
still,仍然
sting,蜇
stock,库存
stomach,胃
stone,石头
stool,凳子
story,故事
stove,火炉
strategy,战略
street,街道
strike,罢工
strong,强的
struggle,斗争
student,学生
stuff,东西
stumble,绊倒
style,风格
subject,主题
submit,提交
subway,地铁
success,成功
such,这样的
sudden,突然
suffer,遭受
sugar,糖
suggest,建议
suit,套装
summer,夏天
sun,太阳
sunny,阳光
sunset,日落
super,极好的
supply,供应
supreme,最高
sure,当然
surface,表面
surge,涌
surprise,惊喜
surround,环绕
survey,民意调查
suspect,怀疑
sustain,维持
swallow,吞
swamp,沼泽
swap,交换
swarm,群
swear,发誓
sweet,甜的
swift,迅速
swim,游泳
swing,摇摆
switch,转变
sword,剑
symbol,象征
symptom,症状
syrup,糖浆
system,系统
table,桌子
tackle,处理
tag,标签
tail,尾巴
talent,天赋
talk,讲话
tank,坦克
tape,磁带
target,目标
task,任务
taste,品尝
tattoo,纹身
taxi,出租车
teach,教
team,团队
tell,告诉
ten,十
tenant,租户
tennis,网球
tent,帐篷
term,学期
test,测试
text,文本
thank,感谢
that,那
theme,主题
then,然后
theory,理论
there,那里
they,他们
thing,事物
this,这
thought,想法
three,三
thrive,蓬勃发展
throw,扔
thumb,拇指
thunder,雷
ticket,票
tide,潮
tiger,老虎
tilt,倾斜
timber,木材
time,时间
tiny,微小的
tip,提示
tired,疲劳的
tissue,组织
title,标题
toast,吐司
tobacco,烟草
today,今天
toddler,学步的儿童
toe,脚趾
together,一起
toilet,洗手间
token,令牌
tomato,番茄
tomorrow,明天
tone,语气
tongue,舌头
tonight,今晚
tool,工具
tooth,齿
top,顶部
topic,话题
topple,推翻
torch,火炬
tornado,龙卷风
tortoise,龟
toss,折腾
total,全部的
tourist,游客
toward,朝向
tower,塔
town,镇
toy,玩具
track,追踪
trade,贸易
traffic,交通
tragic,悲惨
train,火车
transfer,转移
trap,陷阱
trash,垃圾
travel,旅行
tray,托盘
treat,对待
tree,树
trend,趋势
trial,审判
tribe,部落
trick,诡计
trigger,扳机
trim,修剪
trip,旅行
trophy,杯
trouble,麻烦
truck,卡车
TRUE,真的
truly,确实
trumpet,喇叭
trust,相信
truth,真相
try,尝试
tube,管子
tuition,学费
tumble,翻滚
tuna,金枪鱼
tunnel,隧道
turkey,火鸡
turn,转动
turtle,龟
twelve,十二
twenty,二十
twice,两次
twin,双
twist,捻
two,二
type,类型
typical,典型的
ugly,丑陋的
umbrella,伞
unable,无法
unaware,不知道
uncle,叔叔
uncover,揭露
under,在下面
undo,撤消
unfair,不公平
unfold,展开
unhappy,不开心
uniform,制服
unique,独特的
unit,单元
universe,宇宙
unknown,未知
unlock,开锁
until,直到
unusual,异常
unveil,揭开
update,更新
upgrade,升级
uphold,坚持
upon,之上
upper,上
upset,沮丧的
urban,城市的
urge,敦促
usage,用法
use,使用
used,用过的
useful,有用
useless,无用
usual,通常
utility,公用事业
vacant,空缺
vacuum,真空
vague,模糊的
valid,有效的
valley,谷
valve,阀门
van,货车
vanish,消失
vapor,汽
various,各种各样的
vast,广阔的
vault,保险库
vehicle,车辆
velvet,天鹅绒
vendor,小贩
venture,风险投资
venue,场地
verb,动词
verify,核实
version,版本
very,非常
vessel,血管
veteran,老将
viable,维亚
vibrant,充满活力
vicious,恶毒
victory,胜利
video,视频
view,看法
village,村庄
vintage,优质的
violin,小提琴
virtual,虚拟的
virus,病毒
visa,签证
visit,访问
visual,视觉的
vital,必不可少的
vivid,生动
vocal,声音
voice,嗓音
void,空白
volcano,火山
volume,体积
vote,投票
voyage,航程
wage,工资
wagon,车皮
wait,等待
walk,走
wall,墙
walnut,核桃
want,想
warfare,战争
warm,温暖的
warrior,战士
wash,洗
wasp,黄蜂
waste,浪费
water,水
wave,海浪
way,方式
wealth,财富
weapon,武器
wear,穿
weasel,黄鼠狼
weather,天气
web,网络
wedding,婚礼
weekend,周末
weird,诡异的
welcome,欢迎
west,西方
wet,湿的
whale,鲸
what,什么
wheat,小麦
wheel,车轮
when,什么时候
where,在哪里
whip,鞭
whisper,耳语
wide,宽的
width,宽度
wife,妻子
wild,荒野
will,将要
win,赢
window,窗户
wine,葡萄酒
wing,翼
wink,眨眼
winner,优胜者
winter,冬天
wire,金属丝
wisdom,智慧
